date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:52:33	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2001%20Jun%202025%2013:52:23%20GMT	http://fonts.bunny.net/assets/bootstrap/bootstrap.min.css	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/assets/bootstrap/bootstrap.min.css	(from https://fonts.bunny.net/)
14:52:33	173842/173842	---MCZ	200	added ('OK')	text/css	etag:%221d8176d72abe192%22	https://bunny.net/lib/fontawesome/css/all.min.css	C:/My%20Web%20Sites/gp%20cent/bunny.net/lib/fontawesome/css/all.min.css	(from https://fonts.bunny.net/)
14:52:34	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2001%20Jun%202025%2013:52:24%20GMT	http://fonts.bunny.net/assets/animate.min.css	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/assets/animate.min.css	(from https://fonts.bunny.net/)
14:52:34	155713/155713	---MCZ	200	added ('OK')	text/css	etag:W/%221dac977b3746bc1%22	https://fonts.bunny.net/assets/bootstrap/bootstrap.min.css	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/assets/bootstrap/bootstrap.min.css	(from https://fonts.bunny.net/)
14:52:34	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2001%20Jun%202025%2013:52:25%20GMT	http://fonts.bunny.net/assets/bootstrap/jquery.slim.js	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/assets/bootstrap/jquery.slim.js	(from https://fonts.bunny.net/)
14:52:34	71750/71750	---MCZ	200	added ('OK')	text/css	etag:W/%221dac977b37713c6%22	https://fonts.bunny.net/assets/animate.min.css	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/assets/animate.min.css	(from https://fonts.bunny.net/)
14:52:35	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2001%20Jun%202025%2013:52:25%20GMT	http://fonts.bunny.net/assets/bootstrap/bootstrap.min.js	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/assets/bootstrap/bootstrap.min.js	(from https://fonts.bunny.net/)
14:52:35	87155/87155	---MCZ	200	added ('OK')	application/javascript	etag:W/%221dac977b3775ff3%22	https://fonts.bunny.net/assets/bootstrap/jquery.slim.js	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/assets/bootstrap/jquery.slim.js	(from https://fonts.bunny.net/)
14:52:36	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2001%20Jun%202025%2013:52:26%20GMT	http://fonts.bunny.net/_content/Sve.Blazor.InfiniteScroll/js/Observer.js	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/_content/Sve.Blazor.InfiniteScroll/js/Observer.js	(from https://fonts.bunny.net/)
14:52:36	62399/62399	---MCZ	200	added ('OK')	application/javascript	etag:W/%221dac977b376f83f%22	https://fonts.bunny.net/assets/bootstrap/bootstrap.min.js	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/assets/bootstrap/bootstrap.min.js	(from https://fonts.bunny.net/)
14:52:37	434/434	---MCZ	200	added ('OK')	application/javascript	etag:W/%221d64234b79907b2%22	https://fonts.bunny.net/_content/Sve.Blazor.InfiniteScroll/js/Observer.js	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/_content/Sve.Blazor.InfiniteScroll/js/Observer.js	(from https://fonts.bunny.net/)
14:52:37	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2001%20Jun%202025%2013:52:28%20GMT	http://fonts.bunny.net/faq	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/faq.13.delayed	(from https://fonts.bunny.net/)
14:52:38	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2001%20Jun%202025%2013:52:29%20GMT	http://fonts.bunny.net/about	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/about	(from https://fonts.bunny.net/)
14:52:38	37170/37170	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20May%202025%2012:22:13%20GMT	https://fonts.bunny.net/faq	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/faq.html	(from https://fonts.bunny.net/)
14:52:39	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2001%20Jun%202025%2013:52:30%20GMT	http://fonts.bunny.net/assets/footer-dark.svg	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/assets/footer-dark.svg	(from https://fonts.bunny.net/)
14:52:39	35878/35878	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20May%202025%2012:22:27%20GMT	https://fonts.bunny.net/about	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/about.html	(from https://fonts.bunny.net/)
14:52:40	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2001%20Jun%202025%2013:52:30%20GMT	http://fonts.bunny.net/_framework/blazor.webassembly.js	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/_framework/blazor.webassembly.js	(from https://fonts.bunny.net/)
14:52:40	9236/9236	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221dac977b3762f94%22	https://fonts.bunny.net/assets/footer-dark.svg	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/assets/footer-dark.svg	(from https://fonts.bunny.net/)
14:52:40	61019/61019	---MCZ	200	added ('OK')	application/javascript	etag:W/%221dac977c9838e4d%22	https://fonts.bunny.net/_framework/blazor.webassembly.js	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/_framework/blazor.webassembly.js	(from https://fonts.bunny.net/)
14:52:40	11528/11528	---M--	200	added ('OK')	font/woff2	etag:%2267e405d3-2d08%22	https://fonts.bunny.net/figtree/files/figtree-latin-400-normal.woff2	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/figtree/files/figtree-latin-400-normal.woff2	(from https://fonts.bunny.net/css?family=figtree:400,500,600&display=swap)
14:52:40	6264/6264	---M--	200	added ('OK')	font/woff2	etag:%2267032d3b-1878%22	https://fonts.bunny.net/figtree/files/figtree-latin-ext-400-normal.woff2	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/figtree/files/figtree-latin-ext-400-normal.woff2	(from https://fonts.bunny.net/css?family=figtree:400,500,600&display=swap)
14:52:41	6212/6212	---M--	200	added ('OK')	font/woff2	etag:%2267032d3d-1844%22	https://fonts.bunny.net/figtree/files/figtree-latin-ext-500-normal.woff2	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/figtree/files/figtree-latin-ext-500-normal.woff2	(from https://fonts.bunny.net/css?family=figtree:400,500,600&display=swap)
14:52:41	11544/11544	---M--	200	added ('OK')	font/woff2	etag:%226817834f-2d18%22	https://fonts.bunny.net/figtree/files/figtree-latin-500-normal.woff2	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/figtree/files/figtree-latin-500-normal.woff2	(from https://fonts.bunny.net/css?family=figtree:400,500,600&display=swap)
14:52:42	11676/11676	---M--	200	added ('OK')	font/woff2	etag:%2267032d32-2d9c%22	https://fonts.bunny.net/figtree/files/figtree-latin-600-normal.woff2	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/figtree/files/figtree-latin-600-normal.woff2	(from https://fonts.bunny.net/css?family=figtree:400,500,600&display=swap)
14:52:42	6224/6224	---M--	200	added ('OK')	font/woff2	etag:%2267032d3f-1850%22	https://fonts.bunny.net/figtree/files/figtree-latin-ext-600-normal.woff2	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/figtree/files/figtree-latin-ext-600-normal.woff2	(from https://fonts.bunny.net/css?family=figtree:400,500,600&display=swap)
14:52:43	1054/1054	---M-Z	200	added ('OK')	text/plain	etag:%22d50-6253234576840-gzip%22	https://www.w3.org/robots.txt		(from https://pointcom.centipidtechnologies.com/login)
14:52:44	18856/18856	---M--	200	added ('OK')	font/woff2	etag:%2267e4fd40-49a8%22	https://fonts.bunny.net/rubik/files/rubik-latin-400-normal.woff2	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/rubik/files/rubik-latin-400-normal.woff2	(from https://fonts.bunny.net/css?family=Rubik:400,700|Courier+Prime|Allison|Aleo|Abril+Fatface|Alata)
14:52:44	17348/17348	---M--	200	added ('OK')	font/woff2	etag:%226816f728-43c4%22	https://fonts.bunny.net/rubik/files/rubik-arabic-400-normal.woff2	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/rubik/files/rubik-arabic-400-normal.woff2	(from https://fonts.bunny.net/css?family=Rubik:400,700|Courier+Prime|Allison|Aleo|Abril+Fatface|Alata)
14:52:45	4876/4876	---M--	200	added ('OK')	font/woff2	etag:%226816f751-130c%22	https://fonts.bunny.net/rubik/files/rubik-hebrew-400-normal.woff2	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/rubik/files/rubik-hebrew-400-normal.woff2	(from https://fonts.bunny.net/css?family=Rubik:400,700|Courier+Prime|Allison|Aleo|Abril+Fatface|Alata)
14:52:45	7852/7852	---M--	200	added ('OK')	font/woff2	etag:%226816f738-1eac%22	https://fonts.bunny.net/rubik/files/rubik-cyrillic-400-normal.woff2	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/rubik/files/rubik-cyrillic-400-normal.woff2	(from https://fonts.bunny.net/css?family=Rubik:400,700|Courier+Prime|Allison|Aleo|Abril+Fatface|Alata)
14:52:45	10584/10584	---M--	200	added ('OK')	font/woff2	etag:%2267e4fd51-2958%22	https://fonts.bunny.net/rubik/files/rubik-latin-ext-400-normal.woff2	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/rubik/files/rubik-latin-ext-400-normal.woff2	(from https://fonts.bunny.net/css?family=Rubik:400,700|Courier+Prime|Allison|Aleo|Abril+Fatface|Alata)
14:52:46	6252/6252	---M--	200	added ('OK')	font/woff2	etag:%2267e4fd23-186c%22	https://fonts.bunny.net/rubik/files/rubik-cyrillic-ext-400-normal.woff2	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/rubik/files/rubik-cyrillic-ext-400-normal.woff2	(from https://fonts.bunny.net/css?family=Rubik:400,700|Courier+Prime|Allison|Aleo|Abril+Fatface|Alata)
14:52:46	19064/19064	---M--	200	added ('OK')	font/woff2	etag:%226816f764-4a78%22	https://fonts.bunny.net/rubik/files/rubik-latin-700-normal.woff2	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/rubik/files/rubik-latin-700-normal.woff2	(from https://fonts.bunny.net/css?family=Rubik:400,700|Courier+Prime|Allison|Aleo|Abril+Fatface|Alata)
14:52:46	17664/17664	---M--	200	added ('OK')	font/woff2	etag:%2266f08e98-4500%22	https://fonts.bunny.net/rubik/files/rubik-arabic-700-normal.woff2	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/rubik/files/rubik-arabic-700-normal.woff2	(from https://fonts.bunny.net/css?family=Rubik:400,700|Courier+Prime|Allison|Aleo|Abril+Fatface|Alata)
14:52:46	4976/4976	---M--	200	added ('OK')	font/woff2	etag:%2267e4fd39-1370%22	https://fonts.bunny.net/rubik/files/rubik-hebrew-700-normal.woff2	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/rubik/files/rubik-hebrew-700-normal.woff2	(from https://fonts.bunny.net/css?family=Rubik:400,700|Courier+Prime|Allison|Aleo|Abril+Fatface|Alata)
14:52:47	7856/7856	---M--	200	added ('OK')	font/woff2	etag:%2267e4fd16-1eb0%22	https://fonts.bunny.net/rubik/files/rubik-cyrillic-700-normal.woff2	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/rubik/files/rubik-cyrillic-700-normal.woff2	(from https://fonts.bunny.net/css?family=Rubik:400,700|Courier+Prime|Allison|Aleo|Abril+Fatface|Alata)
14:52:47	10796/10796	---M--	200	added ('OK')	font/woff2	etag:%2267e4fd57-2a2c%22	https://fonts.bunny.net/rubik/files/rubik-latin-ext-700-normal.woff2	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/rubik/files/rubik-latin-ext-700-normal.woff2	(from https://fonts.bunny.net/css?family=Rubik:400,700|Courier+Prime|Allison|Aleo|Abril+Fatface|Alata)
14:52:47	6424/6424	---M--	200	added ('OK')	font/woff2	etag:%2268185d97-1918%22	https://fonts.bunny.net/rubik/files/rubik-cyrillic-ext-700-normal.woff2	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/rubik/files/rubik-cyrillic-ext-700-normal.woff2	(from https://fonts.bunny.net/css?family=Rubik:400,700|Courier+Prime|Allison|Aleo|Abril+Fatface|Alata)
14:52:48	18764/18764	---M--	200	added ('OK')	font/woff2	etag:%22683b380e-494c%22	https://fonts.bunny.net/courier-prime/files/courier-prime-latin-400-normal.woff2	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/courier-prime/files/courier-prime-latin-400-normal.woff2	(from https://fonts.bunny.net/css?family=Rubik:400,700|Courier+Prime|Allison|Aleo|Abril+Fatface|Alata)
14:52:48	12700/12700	---M--	200	added ('OK')	font/woff2	etag:%22683b3811-319c%22	https://fonts.bunny.net/courier-prime/files/courier-prime-latin-ext-400-normal.woff2	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/courier-prime/files/courier-prime-latin-ext-400-normal.woff2	(from https://fonts.bunny.net/css?family=Rubik:400,700|Courier+Prime|Allison|Aleo|Abril+Fatface|Alata)
14:52:48	37256/37256	---M--	200	added ('OK')	font/woff2	etag:%226827b33f-9188%22	https://fonts.bunny.net/allison/files/allison-latin-400-normal.woff2	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/allison/files/allison-latin-400-normal.woff2	(from https://fonts.bunny.net/css?family=Rubik:400,700|Courier+Prime|Allison|Aleo|Abril+Fatface|Alata)
14:52:49	30908/30908	---M--	200	added ('OK')	font/woff2	etag:%226827b340-78bc%22	https://fonts.bunny.net/allison/files/allison-latin-ext-400-normal.woff2	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/allison/files/allison-latin-ext-400-normal.woff2	(from https://fonts.bunny.net/css?family=Rubik:400,700|Courier+Prime|Allison|Aleo|Abril+Fatface|Alata)
14:52:49	12164/12164	---M--	200	added ('OK')	font/woff2	etag:%226827b341-2f84%22	https://fonts.bunny.net/allison/files/allison-vietnamese-400-normal.woff2	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/allison/files/allison-vietnamese-400-normal.woff2	(from https://fonts.bunny.net/css?family=Rubik:400,700|Courier+Prime|Allison|Aleo|Abril+Fatface|Alata)
14:52:49	14792/14792	---M--	200	added ('OK')	font/woff2	etag:%226822280d-39c8%22	https://fonts.bunny.net/aleo/files/aleo-latin-400-normal.woff2	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/aleo/files/aleo-latin-400-normal.woff2	(from https://fonts.bunny.net/css?family=Rubik:400,700|Courier+Prime|Allison|Aleo|Abril+Fatface|Alata)
14:52:49	14408/14408	---M--	200	added ('OK')	font/woff2	etag:%2267e555ab-3848%22	https://fonts.bunny.net/aleo/files/aleo-latin-ext-400-normal.woff2	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/aleo/files/aleo-latin-ext-400-normal.woff2	(from https://fonts.bunny.net/css?family=Rubik:400,700|Courier+Prime|Allison|Aleo|Abril+Fatface|Alata)
14:52:50	4624/4624	---M--	200	added ('OK')	font/woff2	etag:%2266f0fbac-1210%22	https://fonts.bunny.net/aleo/files/aleo-vietnamese-400-normal.woff2	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/aleo/files/aleo-vietnamese-400-normal.woff2	(from https://fonts.bunny.net/css?family=Rubik:400,700|Courier+Prime|Allison|Aleo|Abril+Fatface|Alata)
14:52:50	13176/13176	---M--	200	added ('OK')	font/woff2	etag:%22681aa1b0-3378%22	https://fonts.bunny.net/abril-fatface/files/abril-fatface-latin-400-normal.woff2	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/abril-fatface/files/abril-fatface-latin-400-normal.woff2	(from https://fonts.bunny.net/css?family=Rubik:400,700|Courier+Prime|Allison|Aleo|Abril+Fatface|Alata)
14:52:50	7676/7676	---M--	200	added ('OK')	font/woff2	etag:%226827a8b4-1dfc%22	https://fonts.bunny.net/abril-fatface/files/abril-fatface-latin-ext-400-normal.woff2	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/abril-fatface/files/abril-fatface-latin-ext-400-normal.woff2	(from https://fonts.bunny.net/css?family=Rubik:400,700|Courier+Prime|Allison|Aleo|Abril+Fatface|Alata)
14:52:51	39844/39844	---M--	200	added ('OK')	font/woff2	etag:%226820594e-9ba4%22	https://fonts.bunny.net/alata/files/alata-latin-400-normal.woff2	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/alata/files/alata-latin-400-normal.woff2	(from https://fonts.bunny.net/css?family=Rubik:400,700|Courier+Prime|Allison|Aleo|Abril+Fatface|Alata)
14:52:51	34596/34596	---M--	200	added ('OK')	font/woff2	etag:%226825a1dc-8724%22	https://fonts.bunny.net/alata/files/alata-latin-ext-400-normal.woff2	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/alata/files/alata-latin-ext-400-normal.woff2	(from https://fonts.bunny.net/css?family=Rubik:400,700|Courier+Prime|Allison|Aleo|Abril+Fatface|Alata)
14:52:51	8996/8996	---M--	200	added ('OK')	font/woff2	etag:%226825a1dd-2324%22	https://fonts.bunny.net/alata/files/alata-vietnamese-400-normal.woff2	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/alata/files/alata-vietnamese-400-normal.woff2	(from https://fonts.bunny.net/css?family=Rubik:400,700|Courier+Prime|Allison|Aleo|Abril+Fatface|Alata)
14:52:53	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2001%20Jun%202025%2013:52:43%20GMT	http://fonts.bunny.net/assets/faq-bunny.svg	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/assets/faq-bunny.3a.delayed	(from https://fonts.bunny.net/faq)
14:52:54	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2001%20Jun%202025%2013:52:45%20GMT	http://fonts.bunny.net/assets/about-bunny.svg	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/assets/about-bunny.svg	(from https://fonts.bunny.net/about)
14:52:54	53943/53943	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221dac977b376d937%22	https://fonts.bunny.net/assets/faq-bunny.svg	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/assets/faq-bunny.svg	(from https://fonts.bunny.net/faq)
14:52:55	74933/74933	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221dac977b3772f35%22	https://fonts.bunny.net/assets/about-bunny.svg	C:/My%20Web%20Sites/gp%20cent/fonts.bunny.net/assets/about-bunny.svg	(from https://fonts.bunny.net/about)
